"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"6294","智基","27.65","10.7","-13","26Q1","-0.07","2.78","1.79","9.46","10.8","+2262","63.7","12.4","6.66","31.8","短期補習班業"
"6498","久禾光","85.5","12.9","+29.4","26Q1","1.75","6.51","5.57","6.17","5.26","-195","43.7","23.2","25.8","34.1","各式光學鏡頭之加工製造買賣"
"6527","明達醫","71.2","12.6","-15.6","26Q1","1.33","5.8","5.02","4.13","4.07","+21.7","25.8","14.9","14.2","12.7","醫療相關儀器之設計、製造及銷售"
"6532","瑞耘","75.4","11","+2","26Q1","0.84","7.31","4.03","3.59","3.98","+23.1","23.5","23.2","14.2","13.6","半導體零組件系統設備"
"6556","勝品","66.3","10.2","+11.3","26Q1","1.72","6.79","8.85","6.17","5.28","-36.2","28.6","12.4","17.9","13.6","電腦及週邊設備軟硬體、電器及視聽電子產品製造及銷售有線無線通信機械器材製造及銷售電子零組件、電子材料製造及銷售"
"6577","勁豐","78.1","13.3","+1.06","26Q1","1.67","5.64","6.63","7.11","6.4","+1.34","33.6","22.2","29","23.7","醫療及特殊應用嵌入式顯示器模組"
"6590","普鴻","67.6","13.1","+11.9","26Q1","0.84","5.12","5.04","6.08","4.14","+150","37","17.7","15.3","20.6","資訊軟體服務電子資訊供應服務"
"6596","寬宏藝術","90.3","5.29","+55.4","26Q1","2.08","18.83","6.27","5.94","20.7","+1328","61.9","49.7","20.3","26.2","國內外演唱會、展覽、藝文活動主辦及執行國內外演唱會、展覽、藝文活動製作國內外演唱會、展覽、藝文活動票券銷售"
"6605","帝寶","128.5","9.64","-3.37","26Q1","4.41","13.97","18.98","14.29","5.06","-6.21","36.9","11.6","17","14","汽車車燈汽車百貨零件"
"6625","必應","78.3","7.78","+20","26Q1","1.42","9.13","5.84","6.68","6.39","-55.6","49.3","35.4","30.6","40.9","演唱會製作硬體設備租賃"
"6637","醫影","64.6","9.6","-32.4","26Q1","1.01","7.17","7.17","5.66","6.97","","37.5","18.4","22.7","22.8","醫療設備經銷醫院設備租賃、設備維修醫藥品銷售"
"6670","復盛應用","262.5","12.7","+9.91","26Q1","6.96","22.45","28.17","18.18","6.1","+16.5","33.7","19.5","27.9","20.2","高爾夫球桿頭等各項金屬製品之製造加工裝配買賣業務高爾夫球具(桿、握把、頭)之裝配及買賣業務"
"6671","三能-KY","24","10.4","-14.8","26Q1","0.26","2.37","3.18","2.89","5","","21","8.36","11.2","10.5","各式烘焙器具之研發、製造與銷售"
"6697","東捷資訊","40.95","13.9","+3.27","26Q1","0.79","3.04","2.61","2.71","6.35","","41.2","13.6","12.1","13","ERP專業顧問服務系統開發、資安、雲端導入顧問服務資料處理與輸出服務、客服委外服務"
"6703","軒郁","117","11.4","+13.6","26Q1","1.87","9.9","10.16","14.66","4.1","","49.3","24.2","21.8","34.2","美妝保養品及生技保健之研發與銷售除許可業務外，得經營法令非禁止或限制之業務"
"6721","信實","53.3","11.2","+4.32","26Q1","1.48","4.65","4.39","3.33","6.19","","41.6","16.3","16.4","13.1","保全業公寓大廈管理服務業建築物清潔服務業"
"6722","輝創","34.4","13.8","-7.25","26Q1","0.34","2.9","2.6","4.67","5.81","","45.5","10.7","10.1","20.5","倒車雷達、攝影鏡頭、汽車防盜器等"
"6728","上洋","110","12.1","+2.4","26Q1","1.97","9.77","11.71","10.28","5.91","","58.6","14.8","20.5","23.4","商用洗衣服務家電空調銷售其　　他"
"6737","秀育","29.8","10.2","-19","25Q4","2.93","2.93","7.36","3.67","5.37","","41.3","9.89","26","14.3","各類電子零件電腦周邊設備製造與進出口貿易業務其他"
"6741","91APP*-KY","58","13.2","+31.7","26Q1","1.15","4.4","4.22","3.37","3.54","","39.3","15.8","16.4","15","新零售軟體開發暨服務數據 x 電商服務"
"6750","泰創工程","61.2","12.1","-16.2","25Q4","5.05","5.05","3.61","1.63","5.72","","67.2","21.8","18.2","13.5","一般機電整合工程無塵室機電整合工程太陽能電廠系統整合工程服務"
"6752","叡揚","99.2","13.3","+4.47","26Q1","1.39","7.41","6.14","6.14","4.54","","53.9","20.5","18.4","19.7","資訊軟體服務銷售"
"6754","匯僑設計","43.55","13.9","-18","26Q1","0.12","3.41","6.4","4.25","8.04","","48.7","9.58","18.7","13.1","室內設計及裝修工程專案管理傢俱製造,售後服務"
"6763","綠界科技*","43.7","10.6","+12.8","26Q1","0.55","4.21","1.94","21.66","6.86","","60","25.7","12.6","14.9","第三方支付業務"
"6771","平和環保-創","39.3","13.1","-14.4","26Q1","0.69","3.64","3.89","4.76","8.14","","34.7","12.8","14.5","18.8","廢污水代處理--"
"6782","視陽","201","13.6","+23.4","26Q1","3.82","14.08","10.1","4.79","4.18","","32.7","21.7","19.1","9.67","拋棄式隱形眼鏡製造及銷售"
"6790","永豐實","38.6","12.6","-1.23","26Q1","0.83","3.03","2.78","3.62","6.87","","43.5","14","13.1","17.6","紙品清潔用品"
"6807","峰源-KY","33.55","9.75","-22.1","26Q1","0.63","4.69","8.88","4.41","7.45","","29.5","9.77","20.5","11.7","室內家具研發設計生產銷售其他"
"6817","溫士頓","60.2","9.45","-18.7","25Q4","6.37","6.37","7.15","8.62","8.31","","45.2","27.1","30.3","40.2","學名藥及代工"
"6846","綠茵","63.4","13","-10.8","26Q1","1.15","5.39","5.43","5.04","6.22","","60.8","15.9","17.7","19.2","保健食品及原料之研發、製造、銷售。"
"6881","潤德","210","10.1","-0.34","26Q1","5.23","19.42","15.52","10.97","8.81","","56.5","32.4","32.4","31.2","室內裝潢之設計及施工、庭園綠化設計展市會場和博覽會場之設計與佈置傢俱之銷售、組裝及進出口等業務"
"6951","青新-創","73.6","12.8","+22.4","26Q1","1.49","5.39","4.87","2.61","5.43","","38.9","22.3","24.3","16.5","醫療及事業廢棄物清運廢水處理青新木銷售"
"6996","力領科技","181.5","13.9","+27.4","26Q1","3.27","12.15","15.37","11.74","5.51","","31.3","18.6","26.8","26.9","多樣化整合型的車用顯示器驅動晶片之研發、設計及銷售"
"7708","全家餐飲","94.1","13.8","+12.6","26Q1","1.92","6.46","5.39","4.31","5.84","","51.3","16.3","15.5","16.1","餐飲服務業"
"7718","友鋮","47.25","11.1","+3.66","26Q1","1.5","3.75","6.08","5.72","5.29","","22.5","11.8","19.8","19.8","螺絲、螺帽、螺絲釘、及鉚釘等製品製造業。汽、機車零件配備批發業。機械批發業。"
"7753","星亞","41.4","10","-2.65","26Q1","1.08","4.22","3.56","3","3.62","","38.4","22.1","24.2","22","數位顯示系統視覺燈光系統以上各項目及其系統產品之研發設計製造銷售及售後服務"
"7757","金色三麥","93.9","11.1","+4.51","26Q1","1.64","8.97","10.01","10.54","8.25","","51.1","20.5","26.8","32","精釀啤酒釀造餐廳經營各式飲品銷售"
"7764","聖州","12","11.7","-5.07","25Q4","1.03","1.03","2.03","5.57","4.17","","41","4.23","9.09","18.6","各種汽車零配件及模具製造及批發買賣"
"7786","東方風能","131","13.4","+39.1","26Q1","1.2","11.11","7.94","7.07","4.27","","39.4","23.5","27.6","34.6","船舶租賃、離岸風電工程管理、離岸風場長期運維等海事工程服務"
