"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"5283","禾聯碩","53.2","8.78","-1.99","26Q1","0.16","5.63","6.4","7.78","0.75","+32.2","41.6","10.8","10.9","13.5","電子零組件製造業、電器批發業及其他等相關產業"
"5287","數字","153.5","10.9","-1.14","26Q1","2.97","13.93","12.67","12.74","3.42","+12.5","47.7","34.2","34.6","35.8","網路媒合平台"
"5306","桂盟","85.2","13.4","+4.3","26Q1","1.79","7.66","7.27","5.89","3.45","+51.5","35.1","11.2","11.5","9.78","自行車鏈條及機車鏈條、鏈輪之製造與銷售"
"5314","世紀*","65","12.6","+161","26Q1","0.37","5.56","18.25","2.11","0.31","-7.53","42.9","101","84.6","20.2","保健食品批發、零售。無店面零售業。"
"5403","中菲","94","11.9","-5.16","26Q1","1.42","8.57","8.44","8.37","6.91","+8.16","51.8","23.2","24.4","26.1","各種電腦軟體之設計開發及銷售業務各種電腦硬體設備之代理及銷售業務各種電腦資料之處理服務"
"5478","智冠","103","11.7","+15.6","26Q1","2.39","7.93","7.75","7.09","7.28","-40.7","55.4","12","12.9","11.1","遊戲軟體之發行.買賣遊戲軟體雜誌.圖書之發行及買賣"
"5511","德昌","80.4","6.68","+18.9","26Q1","2.54","10.64","7.52","10.14","4.48","-52.3","54.8","18","13.6","20.7","建築及土木工程"
"5515","建國","40.4","6.74","+28.2","26Q1","1.96","4.48","2.91","1.34","8.17","-192","50.6","17.7","13.9","7.06","設計.監修承造各種大小工程買賣建築材料"
"5519","隆大","34.5","6.96","-2.52","26Q1","0.58","4.96","3.9","3.69","9.57","-53","60.4","18.1","15.3","15.4","住宅、大樓及工業廠房開發租售業營造業、投資興建公共建設業不動產租賃業"
"5520","力泰","82.5","8.22","-4.34","26Q1","2.48","9.97","8.98","7.81","8.48","+14.3","37.3","20.2","20.7","20.3","預拌混凝土"
"5547","久舜","23.05","9","+9.47","26Q1","0.37","3.06","2.53","1.57","2.95","","60.9","19","14.8","10.4","房屋建築工程之營造承攬廠辦工程之營造承攬前項產品之工程顧問服務"
"5548","安倉","23.55","11.5","+11","26Q1","0.42","2.03","2.55","2.37","4.25","","50.4","10.3","12.6","16.7","承攬公共工程"
"5609","中菲行","77.2","9.64","+10.7","26Q1","1.66","8","6.78","7.24","7.25","-35.9","41.1","17.7","15.7","16.9","航空貨運承攬及海運承攬運送業務之經營、進出口貨物之報關業務。倉儲業務之經營、理貨包裝業務之經營。前項有關業務之經營及投資。"
"5706","鳳凰","46.85","13.2","-6.52","26Q1","0.62","3.39","3.75","2.44","9.69","+58.6","41.5","15.3","18.6","13.3","接受客戶委託代辦國內外觀光旅遊安排食宿及相關服務等"
"5864","致和證","46.15","6.56","+2,480","26Q1","3.4","2.56","1.98","3.18","1.08","+187","34.2","15.1","10.7","17.6","經紀自營承銷"
"5878","台名","39.3","13.3","+1.02","26Q1","0.43","2.86","2.22","2.2","6.11","+9.54","38.1","13.3","10.2","10.2","人身保險經紀人財產保險經紀人"
"6026","福邦證","15.75","9.21","+147","26Q1","0.07","1.72","1.11","1.61","8.66","-66.2","61","11.5","7.67","12.1","在集中交易市場及營業處所受託買賣有價證券在集中交易市場及營業處所自行買賣有價證券承銷有價證券"
"6028","公勝保經","78.7","10.9","+23.2","26Q1","2.48","7.86","11.94","5.96","7.62","","59.1","26.9","42.6","26.1","人身保險經紀人財產保險經紀人"
"6122","擎邦","52","11.1","-11.5","26Q1","1.03","4.78","4.41","5.25","6.54","-166","63.6","19.7","20","27.1","石化及化工工程捷運、發電廠、空調機電系統及公共工程其他"
"6170","統振","52.2","11.3","-0.7","26Q1","1.09","4.49","3.39","2.74","7.66","+40.6","63.6","21.3","16.9","15.2","電信預付卡代理行銷線上遊戲代理行銷遊戲及網路服務平台之研究開發與營運"
"6171","大城地產","23.7","5.92","+675","26Q1","0.08","3.82","5.73","2.48","8.44","+1118","47.5","15.5","26.1","13","住宅及大樓開發租售業。"
