"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"7781","平山控股","785","5.784","7.03","精密儀器","59.49%","6.62%","7.95%"
"5929","三和控股","3,839.0","13.639","13.64","金屬製品","35.93%","3.39%","2.94%"
"5930","Bunka Shutter","1,920","10.721","10.72","金屬製品","41.64%","3.85%","3.67%"
"6005","三浦工業","3,165.0","13.263","13.26","機械","48.67%","2.27%","2.06%"
"6161","ESTIC","1,035","8.867","8.87","機械","9.86%","2.80%","2.87%"
"6223","西部技研","2,234","12.950","12.95","機械","33.14%","3.13%","3.67%"
"6231","木村工機","11,960","12.991","12.99","機械","42.78%","1.67%","1.44%"
"6239","那賀","1,333","12.253","9.60","機械","25.10%","2.63%","2.47%"
"6248","橫田製作所","1,787","9.789","9.79","機械","15.54%","3.36%","3.47%"
"6250","山彥農機","3,910","11.081","11.08","機械","29.21%","2.30%","3.41%"
"6267","通用包裝機","3,860","9.246","8.50","機械","31.87%","2.98%","3.44%"
"6269","三井海洋開發","9,236.0","11.164","11.16","機械","69.05%","1.57%","1.48%"
"6322","泰克米納","1,608","9.010","9.01","機械","21.70%","3.36%","3.01%"
"6328","荏原製作所","2,462","13.363","13.36","機械","42.25%","2.03%","2.54%"
"6331","三菱化工機","3,795","11.453","11.45","機械","42.47%","3.03%","3.93%"
"6356","日本齒輪工業","1,635","13.292","13.29","機械","15.81%","0.61%","1.23%"
"6364","Airman","1,894","9.239","9.24","機械","31.21%","3.80%","3.19%"
"6392","山田株式會社","7,180","9.922","9.92","機械","12.92%","3.06%","3.52%"
"6396","宇野澤組鐵工所","3,930","10.009","10.01","機械","54.74%","1.27%","1.49%"
"6417","三共柏青哥","1,610.5","7.167","7.17","機械","12.98%","5.59%","4.67%"
"6418","日本金錢機械","1,006","5.810","5.81","機械","31.36%","3.98%","3.29%"
"6420","嘉利雷冷機","3,365","10.970","10.97","機械","26.52%","2.44%","2.27%"
"6430","Daikoku電機","2,303","5.822","5.82","機械","16.21%","4.34%","3.25%"
"6432","竹內製作所工程機械","7,360","12.028","12.03","機械","16.97%","2.85%","3.20%"
"6436","安滿能集團","3,711.0","12.960","12.96","機械","27.91%","4.85%","4.22%"
"6458","新晃工業","1,268","12.732","12.73","機械","28.48%","3.94%","3.68%"
"7003","三井造船","4,372.0","11.473","11.47","機械","52.72%","1.30%","0.83%"
"9201","日本航空","3,065.0","9.985","9.99","空運","58.27%","3.13%","3.23%"
"9202","全日本航空","3,150.0","9.808","9.81","空運","62.01%","2.06%","2.02%"
"2742","Halows超市","3,775","9.009","9.01","零售業","42.85%","1.85%","1.28%"
"2780","米兵","4,830","9.661","9.66","零售業","65.35%","2.19%","2.78%"
"2789","Karula","463","11.122","11.12","零售業","59.70%","1.08%","1.10%"
"3148","綠超級藥妝店","3,275","12.785","13.49","零售業","39.67%","2.72%","1.97%"
"3177","Arigatou Services","3,510","6.575","6.58","零售業","42.48%","3.85%","4.01%"
"3179","Syuppin","1,061","13.507","13.51","零售業","43.33%","4.43%","3.58%"
"3181","買取王國","975","9.962","9.96","零售業","42.92%","1.03%","1.27%"
"3184","ICDA控股","4,540","7.518","7.52","零售業","45.66%","1.54%","1.86%"
"3317","Flying Garden","1,395","8.867","8.87","零售業","32.10%","1.22%","1.09%"
"3375","Zoa","1,684","6.468","6.47","零售業","39.64%","4.45%","3.86%"
"3538","Willplus控股","912","5.573","5.77","零售業","67.22%","5.05%","3.92%"
"3539","JM控股","1,241","10.315","9.85","零售業","37.65%","1.93%","1.70%"
"7126","Global Style","1,541","11.638","10.34","零售業","60.97%","2.14%","1.99%"
"7134","UP Garage集團","1,247","12.753","12.64","零售業","30.55%","2.93%","3.37%"
"7419","Nojima","1,338","10.690","10.69","零售業","58.11%","1.32%","1.75%"
"7508","G-7控股","1,394","12.784","12.78","零售業","56.45%","2.87%","2.93%"
"7522","和民餐飲","937","10.356","10.36","零售業","59.10%","1.07%","1.00%"
"7606","United Arrows","2,460","11.114","11.11","零售業","41.07%","3.62%","3.14%"
"7638","New Art控股","1,358","9.910","9.91","零售業","57.78%","5.89%","3.48%"
"7679","藥王堂控股","1,683","8.150","8.15","零售業","61.01%","1.72%","1.27%"
"8194","Life Corporation","2,598","11.942","11.94","零售業","53.61%","2.52%","2.59%"
"8198","美思佰樂東海超市","3,170","9.862","9.86","零售業","36.32%","2.68%","2.21%"
"9262","銀色生命","654","8.956","10.18","零售業","33.30%","2.45%","1.65%"
"9823","Mammy Mart","1,029","9.537","9.81","零售業","51.13%","2.20%","2.11%"
"9959","Aseed控股","902","12.222","12.22","零售業","67.13%","2.44%","2.52%"
